Size;Algorithm;Time
18;KR Mod Dyn;0.00053537
18;KR Mod Dyn;4.96392e-005
18;KR Mod Dyn;4.59746e-005
34;KR Mod Dyn;0.000122932
34;KR Mod Dyn;0.000108273
34;KR Mod Dyn;0.000103276
66;KR Mod Dyn;0.000320156
66;KR Mod Dyn;0.000286841
66;KR Mod Dyn;0.000286175
130;KR Mod Dyn;0.00164975
130;KR Mod Dyn;0.000920158
130;KR Mod Dyn;0.000889508
258;KR Mod Dyn;0.00315425
258;KR Mod Dyn;0.00306697
258;KR Mod Dyn;0.00312294
514;KR Mod Dyn;0.0112861
514;KR Mod Dyn;0.0112298
514;KR Mod Dyn;0.0112228
1026;KR Mod Dyn;0.0438897
1026;KR Mod Dyn;0.0445517
1026;KR Mod Dyn;0.0446916
2050;KR Mod Dyn;0.176535
2050;KR Mod Dyn;0.175447
2050;KR Mod Dyn;0.177523
4098;KR Mod Dyn;0.681408
4098;KR Mod Dyn;0.676235
4098;KR Mod Dyn;0.678872
8194;KR Mod Dyn;2.6859
8194;KR Mod Dyn;2.67437
8194;KR Mod Dyn;2.67731
16386;KR Mod Dyn;10.742
16386;KR Mod Dyn;10.7521
16386;KR Mod Dyn;10.7761
32770;KR Mod Dyn;47.3754
32770;KR Mod Dyn;48.0346
32770;KR Mod Dyn;47.9574
65538;KR Mod Dyn;210.694
65538;KR Mod Dyn;215.481
65538;KR Mod Dyn;214.938
