Size;Algorithm;Time
32;KR1992MDGR;0.000886843
32;KR1992MDGR;0.000369795
32;KR1992MDGR;0.000342144
64;KR1992MDGR;0.00209817
64;KR1992MDGR;0.00147152
64;KR1992MDGR;0.00145786
128;KR1992MDGR;0.00825976
128;KR1992MDGR;0.00631217
128;KR1992MDGR;0.00637147
256;KR1992MDGR;0.0391177
256;KR1992MDGR;0.031393
256;KR1992MDGR;0.030652
512;KR1992MDGR;0.198756
512;KR1992MDGR;0.16729
512;KR1992MDGR;0.167269
1024;KR1992MDGR;0.885255
1024;KR1992MDGR;0.778335
1024;KR1992MDGR;0.782636
2048;KR1992MDGR;4.04135
2048;KR1992MDGR;3.55294
2048;KR1992MDGR;3.56699
4096;KR1992MDGR;18.4162
4096;KR1992MDGR;16.2342
4096;KR1992MDGR;16.2886
