Size;Algorithm;Time
32;KR1992MDRGR;0.000892506
32;KR1992MDRGR;0.000370129
32;KR1992MDRGR;0.000341478
64;KR1992MDRGR;0.00196125
64;KR1992MDRGR;0.00145519
64;KR1992MDRGR;0.00155114
128;KR1992MDRGR;0.00868153
128;KR1992MDRGR;0.00664266
128;KR1992MDRGR;0.00667231
256;KR1992MDRGR;0.0389894
256;KR1992MDRGR;0.0305927
256;KR1992MDRGR;0.0304618
512;KR1992MDRGR;0.199022
512;KR1992MDRGR;0.168313
512;KR1992MDRGR;0.166626
1024;KR1992MDRGR;0.886683
1024;KR1992MDRGR;0.773855
1024;KR1992MDRGR;0.783967
2048;KR1992MDRGR;4.04177
2048;KR1992MDRGR;3.54922
2048;KR1992MDRGR;3.56608
4096;KR1992MDRGR;18.4288
4096;KR1992MDRGR;16.2274
4096;KR1992MDRGR;16.2501
