Size;Algorithm;Time
32;GTDGR;0.000125597
32;GTDGR;9.06165e-005
32;GTDGR;8.82845e-005
64;GTDGR;0.00025919
64;GTDGR;0.000261522
64;GTDGR;0.000160578
128;GTDGR;0.000576348
128;GTDGR;0.000573016
128;GTDGR;0.000588341
256;GTDGR;0.00193759
256;GTDGR;0.0019809
256;GTDGR;0.00199256
512;GTDGR;0.00934616
512;GTDGR;0.00900468
512;GTDGR;0.00880146
1024;GTDGR;0.0579616
1024;GTDGR;0.0582491
1024;GTDGR;0.058505
2048;GTDGR;0.272884
2048;GTDGR;0.275559
2048;GTDGR;0.27505
4096;GTDGR;1.18173
4096;GTDGR;1.18468
4096;GTDGR;1.18292
8192;GTDGR;4.74338
8192;GTDGR;4.89777
8192;GTDGR;4.89939
