Size;Algorithm;Time
32;GTDRGR;0.000491062
32;GTDRGR;8.16215e-005
32;GTDRGR;8.19547e-005
64;GTDRGR;0.000444754
64;GTDRGR;0.000441756
64;GTDRGR;0.000442089
128;GTDRGR;0.00233904
128;GTDRGR;0.00236702
128;GTDRGR;0.0023427
256;GTDRGR;0.00824011
256;GTDRGR;0.00821012
256;GTDRGR;0.00814916
512;GTDRGR;0.0732455
512;GTDRGR;0.072844
512;GTDRGR;0.0731419
1024;GTDRGR;0.391242
1024;GTDRGR;0.3948
1024;GTDRGR;0.394564
2048;GTDRGR;2.21217
2048;GTDRGR;2.23818
2048;GTDRGR;2.22978
4096;GTDRGR;8.62905
4096;GTDRGR;8.66772
4096;GTDRGR;8.65978
8192;GTDRGR;38.6649
8192;GTDRGR;40.4846
8192;GTDRGR;40.5564
