Size;Algorithm;Time
32;KR1992MDGR;0.000971129
32;KR1992MDGR;0.000452416
32;KR1992MDGR;0.000471073
64;KR1992MDGR;0.00228207
64;KR1992MDGR;0.00177202
64;KR1992MDGR;0.00187396
128;KR1992MDGR;0.00998514
128;KR1992MDGR;0.00814016
128;KR1992MDGR;0.00809286
256;KR1992MDGR;0.0490345
256;KR1992MDGR;0.0373483
256;KR1992MDGR;0.0380073
512;KR1992MDGR;0.238404
512;KR1992MDGR;0.207719
512;KR1992MDGR;0.207051
1024;KR1992MDGR;1.07596
1024;KR1992MDGR;0.977908
1024;KR1992MDGR;0.982647
2048;KR1992MDGR;4.80725
2048;KR1992MDGR;4.32344
2048;KR1992MDGR;4.34091
4096;KR1992MDGR;22.1519
4096;KR1992MDGR;19.9955
4096;KR1992MDGR;20.0716
