a;b;Algorithm;Time
3;2;KR Mod Dyn;0.000536703
3;2;KR Mod Dyn;0.000100278
3;2;KR Mod Dyn;9.29486e-005
4;2;KR Mod Dyn;0.000295836
4;2;KR Mod Dyn;0.000255192
4;2;KR Mod Dyn;0.000258524
5;2;KR Mod Dyn;0.000703278
5;2;KR Mod Dyn;0.000666964
5;2;KR Mod Dyn;0.000665965
7;3;KR Mod Dyn;0.00745687
7;3;KR Mod Dyn;0.0073516
7;3;KR Mod Dyn;0.00748353
9;3;KR Mod Dyn;0.0204597
9;3;KR Mod Dyn;0.0202488
9;3;KR Mod Dyn;0.0204783
12;3;KR Mod Dyn;0.0673011
12;3;KR Mod Dyn;0.0676316
12;3;KR Mod Dyn;0.0672771
16;4;KR Mod Dyn;0.532531
16;4;KR Mod Dyn;0.538508
16;4;KR Mod Dyn;0.538407
21;5;KR Mod Dyn;2.79934
21;5;KR Mod Dyn;2.79174
21;5;KR Mod Dyn;2.8025
28;5;KR Mod Dyn;2.39721
28;5;KR Mod Dyn;2.40983
28;5;KR Mod Dyn;2.38863
37;6;KR Mod Dyn;16.16
37;6;KR Mod Dyn;16.1924
37;6;KR Mod Dyn;16.1861
49;7;KR Mod Dyn;338.407
49;7;KR Mod Dyn;342.623
