a;b;Algorithm;Time
3;2;KR1992MDRGR;0.000133926
3;2;KR1992MDRGR;0.000109606
3;2;KR1992MDRGR;0.000104942
4;2;KR1992MDRGR;0.000304165
4;2;KR1992MDRGR;0.00027718
4;2;KR1992MDRGR;0.000282843
5;2;KR1992MDRGR;0.000694949
5;2;KR1992MDRGR;0.000660634
5;2;KR1992MDRGR;0.000658969
7;3;KR1992MDRGR;0.00751951
7;3;KR1992MDRGR;0.00744188
7;3;KR1992MDRGR;0.00750451
9;3;KR1992MDRGR;0.0196834
9;3;KR1992MDRGR;0.0195552
9;3;KR1992MDRGR;0.0195179
12;3;KR1992MDRGR;0.06634
12;3;KR1992MDRGR;0.0664669
12;3;KR1992MDRGR;0.0662633
16;4;KR1992MDRGR;0.534665
16;4;KR1992MDRGR;0.537056
16;4;KR1992MDRGR;0.536128
21;5;KR1992MDRGR;2.76308
21;5;KR1992MDRGR;2.75766
21;5;KR1992MDRGR;2.76092
28;5;KR1992MDRGR;2.14182
28;5;KR1992MDRGR;2.11554
28;5;KR1992MDRGR;2.11338
37;6;KR1992MDRGR;15.66
37;6;KR1992MDRGR;15.6362
37;6;KR1992MDRGR;15.6351
49;7;KR1992MDRGR;339.233
49;7;KR1992MDRGR;341.644
