a;b;Algorithm;Time
2;4;GTDGR;5.23044e-005
2;4;GTDGR;3.29818e-005
2;4;GTDGR;2.93171e-005
2;6;GTDGR;4.26431e-005
2;6;GTDGR;4.06442e-005
2;6;GTDGR;4.56414e-005
3;8;GTDGR;0.000268851
3;8;GTDGR;0.000262521
3;8;GTDGR;0.000261189
3;11;GTDGR;0.000411439
3;11;GTDGR;0.00039678
3;11;GTDGR;0.00039678
4;16;GTDGR;0.00245964
4;16;GTDGR;0.00244865
4;16;GTDGR;0.00245231
5;23;GTDGR;0.0100524
5;23;GTDGR;0.0100568
5;23;GTDGR;0.0100581
6;32;GTDGR;0.0442289
6;32;GTDGR;0.0441689
6;32;GTDGR;0.0441379
7;45;GTDGR;0.140848
7;45;GTDGR;0.141207
7;45;GTDGR;0.140581
8;64;GTDGR;0.488499
8;64;GTDGR;0.487923
8;64;GTDGR;0.48979
10;91;GTDGR;2.6801
10;91;GTDGR;2.69032
10;91;GTDGR;2.67924
11;128;GTDGR;7.12589
11;128;GTDGR;7.10295
11;128;GTDGR;7.17586
13;181;GTDGR;60.8277
13;181;GTDGR;61.3251
13;181;GTDGR;61.919
16;256;GTDGR;405.271
