a;b;Algorithm;Time
2;4;GTDRGR;8.92839e-005
2;4;GTDRGR;9.1616e-005
2;4;GTDRGR;7.49585e-005
2;6;GTDRGR;5.89674e-005
2;6;GTDRGR;5.3637e-005
2;6;GTDRGR;5.39701e-005
3;8;GTDRGR;0.000206552
3;8;GTDRGR;0.000183898
3;8;GTDRGR;0.000190561
3;11;GTDRGR;0.00026452
3;11;GTDRGR;0.000241866
3;11;GTDRGR;0.000255858
4;16;GTDRGR;0.000937814
4;16;GTDRGR;0.000911162
4;16;GTDRGR;0.00096913
5;23;GTDRGR;0.0026422
5;23;GTDRGR;0.0027025
5;23;GTDRGR;0.00245697
6;32;GTDRGR;0.00647209
6;32;GTDRGR;0.00643177
6;32;GTDRGR;0.00643877
7;45;GTDRGR;0.0160888
7;45;GTDRGR;0.0176496
7;45;GTDRGR;0.0162393
8;64;GTDRGR;0.0424548
8;64;GTDRGR;0.0441959
8;64;GTDRGR;0.0391217
10;91;GTDRGR;0.136758
10;91;GTDRGR;0.136946
10;91;GTDRGR;0.135958
11;128;GTDRGR;0.268482
11;128;GTDRGR;0.268495
11;128;GTDRGR;0.266493
13;181;GTDRGR;1.32056
13;181;GTDRGR;1.32367
13;181;GTDRGR;1.3317
16;256;GTDRGR;6.52959
16;256;GTDRGR;6.54182
16;256;GTDRGR;6.53699
19;362;GTDRGR;11.7672
19;362;GTDRGR;11.7625
19;362;GTDRGR;11.7873
23;512;GTDRGR;38.7064
23;512;GTDRGR;38.76
23;512;GTDRGR;38.7879
27;724;GTDRGR;92.8318
27;724;GTDRGR;93.0517
27;724;GTDRGR;92.908
