a;b;Algorithm;Time
2;4;KR1992MDGR;9.99447e-005
2;4;KR1992MDGR;7.99558e-005
2;4;KR1992MDGR;6.36315e-005
2;6;KR1992MDGR;0.000121933
2;6;KR1992MDGR;9.92784e-005
2;6;KR1992MDGR;9.02834e-005
3;8;KR1992MDGR;0.000712273
3;8;KR1992MDGR;0.000662966
3;8;KR1992MDGR;0.00068129
3;11;KR1992MDGR;0.00102377
3;11;KR1992MDGR;0.000948475
3;11;KR1992MDGR;0.00092782
4;16;KR1992MDGR;0.00593938
4;16;KR1992MDGR;0.00575981
4;16;KR1992MDGR;0.00579279
5;23;KR1992MDGR;0.0234264
5;23;KR1992MDGR;0.0233031
5;23;KR1992MDGR;0.0233894
6;32;KR1992MDGR;0.101215
6;32;KR1992MDGR;0.100435
6;32;KR1992MDGR;0.100509
7;45;KR1992MDGR;0.331016
7;45;KR1992MDGR;0.329512
7;45;KR1992MDGR;0.330304
8;64;KR1992MDGR;1.14538
8;64;KR1992MDGR;1.14153
8;64;KR1992MDGR;1.14161
10;91;KR1992MDGR;5.92454
10;91;KR1992MDGR;5.92115
10;91;KR1992MDGR;5.90403
11;128;KR1992MDGR;17.241
11;128;KR1992MDGR;17.5305
11;128;KR1992MDGR;17.264
13;181;KR1992MDGR;93.5301
13;181;KR1992MDGR;93.5216
13;181;KR1992MDGR;93.4854
16;256;KR1992MDGR;444.615
