Size;Algorithm;Time
18;GTDGRE2;6.86287e-005
18;GTDGRE2;2.96503e-005
18;GTDGRE2;2.69851e-005
34;GTDGRE2;6.19657e-005
34;GTDGRE2;5.33038e-005
34;GTDGRE2;5.39701e-005
66;GTDGRE2;9.52806e-005
66;GTDGRE2;7.86232e-005
66;GTDGRE2;7.829e-005
130;GTDGRE2;0.000172238
130;GTDGRE2;0.000137257
130;GTDGRE2;0.000135925
258;GTDGRE2;0.000303166
258;GTDGRE2;0.00026452
258;GTDGRE2;0.000271183
514;GTDGRE2;0.000595337
514;GTDGRE2;0.000521045
514;GTDGRE2;0.000519712
1026;GTDGRE2;0.00116302
1026;GTDGRE2;0.00104109
1026;GTDGRE2;0.00104875
2050;GTDGRE2;0.0023487
2050;GTDGRE2;0.00208385
2050;GTDGRE2;0.00207818
4098;GTDGRE2;0.00467008
4098;GTDGRE2;0.00419168
4098;GTDGRE2;0.00421833
8194;GTDGRE2;0.00954205
8194;GTDGRE2;0.00848997
8194;GTDGRE2;0.00847731
16386;GTDGRE2;0.019304
16386;GTDGRE2;0.0173247
16386;GTDGRE2;0.0171295
32770;GTDGRE2;0.0401684
32770;GTDGRE2;0.035557
32770;GTDGRE2;0.0357989
65538;GTDGRE2;124.645
65538;GTDGRE2;125.06
65538;GTDGRE2;124.752
