Size;Algorithm;Time
18;GT Dyn;5.43033e-005
18;GT Dyn;2.63188e-005
18;GT Dyn;2.56525e-005
34;GT Dyn;5.63022e-005
34;GT Dyn;5.39701e-005
34;GT Dyn;4.83066e-005
66;GT Dyn;0.000145586
66;GT Dyn;0.000121933
66;GT Dyn;0.000122266
130;GT Dyn;0.000323155
130;GT Dyn;0.000297502
130;GT Dyn;0.000287174
258;GT Dyn;0.000859524
258;GT Dyn;0.000796559
258;GT Dyn;0.000801223
514;GT Dyn;0.00221944
514;GT Dyn;0.00214348
514;GT Dyn;0.00209351
1026;GT Dyn;0.00611795
1026;GT Dyn;0.00586909
1026;GT Dyn;0.00598069
2050;GT Dyn;0.0166558
2050;GT Dyn;0.0163233
2050;GT Dyn;0.0162493
4098;GT Dyn;0.045261
4098;GT Dyn;0.0443768
4098;GT Dyn;0.0442478
8194;GT Dyn;0.130536
8194;GT Dyn;0.126165
8194;GT Dyn;0.12571
16386;GT Dyn;0.365891
16386;GT Dyn;0.362176
16386;GT Dyn;0.361566
32770;GT Dyn;1.02603
32770;GT Dyn;1.01509
32770;GT Dyn;1.01707
65538;GT Dyn;2.87997
65538;GT Dyn;2.89944
65538;GT Dyn;2.91449
131074;GT Dyn;9.49954
131074;GT Dyn;9.42832
131074;GT Dyn;9.4604
262146;GT Dyn;29.462
262146;GT Dyn;29.4018
262146;GT Dyn;29.3933
524290;GT Dyn;88.0664
524290;GT Dyn;88.0639
524290;GT Dyn;87.9465
1048578;GT Dyn;258.53
