Size;Algorithm;Time
18;GTGRE2;0.000421433
18;GTGRE2;9.66132e-006
18;GTGRE2;7.66243e-006
34;GTGRE2;1.36591e-005
34;GTGRE2;1.29928e-005
34;GTGRE2;1.26597e-005
66;GTGRE2;1.89895e-005
66;GTGRE2;1.63243e-005
66;GTGRE2;1.83232e-005
130;GTGRE2;4.79735e-005
130;GTGRE2;4.16436e-005
130;GTGRE2;4.33094e-005
258;GTGRE2;0.000164909
258;GTGRE2;0.000164576
258;GTGRE2;0.000159245
514;GTGRE2;0.000671962
514;GTGRE2;0.000677292
514;GTGRE2;0.000671962
1026;GTGRE2;0.00333282
1026;GTGRE2;0.00338513
1026;GTGRE2;0.00334748
2050;GTGRE2;0.0187093
2050;GTGRE2;0.0182452
2050;GTGRE2;0.0186437
4098;GTGRE2;0.0889528
4098;GTGRE2;0.0911935
4098;GTGRE2;0.0892676
8194;GTGRE2;0.440727
8194;GTGRE2;0.416613
8194;GTGRE2;0.429818
16386;GTGRE2;1.88562
16386;GTGRE2;1.88706
16386;GTGRE2;1.8827
32770;GTGRE2;8.19156
32770;GTGRE2;8.32343
32770;GTGRE2;8.22797
65538;GTGRE2;54.1369
65538;GTGRE2;54.2607
65538;GTGRE2;54.3229
131074;GTGRE2;253.982
131074;GTGRE2;252.595
