Size;Algorithm;Time
18;KRLMGRE2;9.36149e-005
18;KRLMGRE2;4.86398e-005
18;KRLMGRE2;5.03055e-005
34;KRLMGRE2;9.79458e-005
34;KRLMGRE2;8.22878e-005
34;KRLMGRE2;7.96226e-005
66;KRLMGRE2;0.00017457
66;KRLMGRE2;0.000148251
66;KRLMGRE2;0.000140589
130;KRLMGRE2;0.000331816
130;KRLMGRE2;0.000309829
130;KRLMGRE2;0.000296169
258;KRLMGRE2;0.000700279
258;KRLMGRE2;0.000633316
258;KRLMGRE2;0.000659968
514;KRLMGRE2;0.00142888
514;KRLMGRE2;0.00135225
514;KRLMGRE2;0.00135592
1026;KRLMGRE2;0.00344576
1026;KRLMGRE2;0.00321922
1026;KRLMGRE2;0.00322222
2050;KRLMGRE2;0.00727198
2050;KRLMGRE2;0.00679957
2050;KRLMGRE2;0.00687053
4098;KRLMGRE2;0.0212489
4098;KRLMGRE2;0.0203617
4098;KRLMGRE2;0.0201938
8194;KRLMGRE2;0.0602307
8194;KRLMGRE2;0.0598229
8194;KRLMGRE2;0.0599725
16386;KRLMGRE2;0.19636
16386;KRLMGRE2;0.193457
16386;KRLMGRE2;0.194374
32770;KRLMGRE2;0.702583
32770;KRLMGRE2;0.69551
32770;KRLMGRE2;0.695547
65538;KRLMGRE2;2.55028
65538;KRLMGRE2;2.54793
65538;KRLMGRE2;2.5462
131074;KRLMGRE2;9.80618
131074;KRLMGRE2;9.79326
131074;KRLMGRE2;9.80279
262146;KRLMGRE2;38.1978
262146;KRLMGRE2;38.1163
262146;KRLMGRE2;38.1229
524290;KRLMGRE2;152.593
524290;KRLMGRE2;152.552
524290;KRLMGRE2;152.576
