Size;Algorithm;Time
18;KR1992M3GR;6.39646e-005
18;KR1992M3GR;3.1316e-005
18;KR1992M3GR;3.49806e-005
34;KR1992M3GR;7.26265e-005
34;KR1992M3GR;5.69685e-005
34;KR1992M3GR;5.26375e-005
66;KR1992M3GR;0.000153915
66;KR1992M3GR;0.000122266
66;KR1992M3GR;0.000117602
130;KR1992M3GR;0.000366131
130;KR1992M3GR;0.000341811
130;KR1992M3GR;0.000345476
258;KR1992M3GR;0.00107874
258;KR1992M3GR;0.00100678
258;KR1992M3GR;0.00100411
514;KR1992M3GR;0.00358468
514;KR1992M3GR;0.0034381
514;KR1992M3GR;0.00348241
1026;KR1992M3GR;0.0137447
1026;KR1992M3GR;0.0133733
1026;KR1992M3GR;0.0137101
2050;KR1992M3GR;0.0536913
2050;KR1992M3GR;0.054136
2050;KR1992M3GR;0.0534704
4098;KR1992M3GR;0.218713
4098;KR1992M3GR;0.216913
4098;KR1992M3GR;0.216589
8194;KR1992M3GR;0.873311
8194;KR1992M3GR;0.887653
8194;KR1992M3GR;0.884109
16386;KR1992M3GR;3.60441
16386;KR1992M3GR;3.59665
16386;KR1992M3GR;3.60558
32770;KR1992M3GR;25.3301
32770;KR1992M3GR;26.3323
32770;KR1992M3GR;26.4586
65538;KR1992M3GR;117.145
65538;KR1992M3GR;124.227
65538;KR1992M3GR;120.694
