Size;Algorithm;Time
32;GTDGRE2;0.000195558
32;GTDGRE2;4.33094e-005
32;GTDGRE2;4.26431e-005
64;GTDGRE2;0.000678958
64;GTDGRE2;0.000135925
64;GTDGRE2;0.000131594
128;GTDGRE2;0.00293005
128;GTDGRE2;0.000518047
128;GTDGRE2;0.000538702
256;GTDGRE2;0.0121976
256;GTDGRE2;0.00269784
256;GTDGRE2;0.00272916
512;GTDGRE2;0.0513669
512;GTDGRE2;0.0126157
512;GTDGRE2;0.0124901
1024;GTDGRE2;0.261746
1024;GTDGRE2;0.107058
1024;GTDGRE2;0.107661
2048;GTDGRE2;1.00928
2048;GTDGRE2;0.392216
2048;GTDGRE2;0.394031
4096;GTDGRE2;4.70414
4096;GTDGRE2;2.13079
4096;GTDGRE2;2.13194
8192;GTDGRE2;70.6446
8192;GTDGRE2;10.4971
8192;GTDGRE2;10.4727
