Size;Algorithm;Time
32;GTDRGR;0.000645976
32;GTDRGR;8.76182e-005
32;GTDRGR;8.96171e-005
64;GTDRGR;0.00103143
64;GTDRGR;0.000471406
64;GTDRGR;0.000466742
128;GTDRGR;0.00474871
128;GTDRGR;0.00233937
128;GTDRGR;0.00230406
256;GTDRGR;0.0252061
256;GTDRGR;0.0152306
256;GTDRGR;0.015044
512;GTDRGR;0.111033
512;GTDRGR;0.071124
512;GTDRGR;0.0645373
1024;GTDRGR;0.788975
1024;GTDRGR;0.638444
1024;GTDRGR;0.646012
2048;GTDRGR;3.59209
2048;GTDRGR;3.00144
2048;GTDRGR;3.03122
4096;GTDRGR;18.3196
4096;GTDRGR;15.7032
4096;GTDRGR;15.6965
8192;GTDRGR;128.907
8192;GTDRGR;68.9382
8192;GTDRGR;68.8291
