Size;Algorithm;Time
32;GTGRE2;9.3948e-005
32;GTGRE2;3.3648e-005
32;GTGRE2;3.19823e-005
64;GTGRE2;9.1616e-005
64;GTGRE2;8.99502e-005
64;GTGRE2;8.99502e-005
128;GTGRE2;0.00025919
128;GTGRE2;0.000239534
128;GTGRE2;0.000239201
256;GTGRE2;0.00095747
256;GTGRE2;0.000920824
256;GTGRE2;0.000938814
512;GTGRE2;0.00472105
512;GTGRE2;0.00479202
512;GTGRE2;0.0047034
1024;GTGRE2;0.0207109
1024;GTGRE2;0.0203228
1024;GTGRE2;0.0207282
2048;GTGRE2;0.0841378
2048;GTGRE2;0.0823901
2048;GTGRE2;0.0823694
4096;GTGRE2;0.481803
4096;GTGRE2;0.47462
4096;GTGRE2;0.481459
8192;GTGRE2;2.33994
8192;GTGRE2;2.30898
8192;GTGRE2;2.32251
