Size;Algorithm;Time
32;KR Mod Dyn;0.00122132
32;KR Mod Dyn;0.00031949
32;KR Mod Dyn;0.000286841
64;KR Mod Dyn;0.00190328
64;KR Mod Dyn;0.00141155
64;KR Mod Dyn;0.00148151
128;KR Mod Dyn;0.00844866
128;KR Mod Dyn;0.00641678
128;KR Mod Dyn;0.00641445
256;KR Mod Dyn;0.0363955
256;KR Mod Dyn;0.0271223
256;KR Mod Dyn;0.0276074
512;KR Mod Dyn;0.219743
512;KR Mod Dyn;0.177503
512;KR Mod Dyn;0.173542
1024;KR Mod Dyn;0.727962
1024;KR Mod Dyn;0.618661
1024;KR Mod Dyn;0.622539
2048;KR Mod Dyn;3.26398
2048;KR Mod Dyn;2.77231
2048;KR Mod Dyn;2.79455
4096;KR Mod Dyn;17.9433
4096;KR Mod Dyn;15.798
4096;KR Mod Dyn;16.1123
