Size;Algorithm;Time
32;GTDGRE2;0.000220211
32;GTDGRE2;6.03e-005
32;GTDGRE2;5.53027e-005
64;GTDGRE2;0.00072893
64;GTDGRE2;0.000175236
64;GTDGRE2;0.000169906
128;GTDGRE2;0.003013
128;GTDGRE2;0.000679957
128;GTDGRE2;0.000671628
256;GTDGRE2;0.0128915
256;GTDGRE2;0.00343243
256;GTDGRE2;0.00338813
512;GTDGRE2;0.0539718
512;GTDGRE2;0.0164799
512;GTDGRE2;0.0160141
1024;GTDGRE2;0.25942
1024;GTDGRE2;0.106564
1024;GTDGRE2;0.107562
2048;GTDGRE2;1.22768
2048;GTDGRE2;0.612704
2048;GTDGRE2;0.616085
4096;GTDGRE2;5.19876
4096;GTDGRE2;2.62383
4096;GTDGRE2;2.60915
8192;GTDGRE2;80.1176
8192;GTDGRE2;12.4353
8192;GTDGRE2;12.4321
