Size;Algorithm;Time
32;KRLMGRE2;0.00138457
32;KRLMGRE2;0.000494726
32;KRLMGRE2;0.000438424
64;KRLMGRE2;0.00275814
64;KRLMGRE2;0.00210517
64;KRLMGRE2;0.00217113
128;KRLMGRE2;0.00947009
128;KRLMGRE2;0.00738891
128;KRLMGRE2;0.00734594
256;KRLMGRE2;0.0462851
256;KRLMGRE2;0.0373297
256;KRLMGRE2;0.0375422
512;KRLMGRE2;0.26138
512;KRLMGRE2;0.229732
512;KRLMGRE2;0.229757
1024;KRLMGRE2;1.1323
1024;KRLMGRE2;1.04504
1024;KRLMGRE2;1.03031
2048;KRLMGRE2;5.03583
2048;KRLMGRE2;4.55394
2048;KRLMGRE2;4.56049
4096;KRLMGRE2;23.3091
4096;KRLMGRE2;21.0494
4096;KRLMGRE2;21.4103
