Size;Algorithm;Time
32;KR1992M3RGR;0.00151416
32;KR1992M3RGR;0.000702278
32;KR1992M3RGR;0.000646642
64;KR1992M3RGR;0.00399646
64;KR1992M3RGR;0.00275814
64;KR1992M3RGR;0.00287008
128;KR1992M3RGR;0.0105735
128;KR1992M3RGR;0.00685821
128;KR1992M3RGR;0.00677892
256;KR1992M3RGR;0.0462534
256;KR1992M3RGR;0.0354727
256;KR1992M3RGR;0.0356666
512;KR1992M3RGR;0.290949
512;KR1992M3RGR;0.250289
512;KR1992M3RGR;0.251682
1024;KR1992M3RGR;1.11774
1024;KR1992M3RGR;0.981687
1024;KR1992M3RGR;0.989861
2048;KR1992M3RGR;5.48446
2048;KR1992M3RGR;4.9163
2048;KR1992M3RGR;4.92456
4096;KR1992M3RGR;23.1246
4096;KR1992M3RGR;20.6
4096;KR1992M3RGR;20.9096
