a;b;Algorithm;Time
3;3;GT Dyn;0.000155581
3;3;GT Dyn;0.000119934
3;3;GT Dyn;0.000123598
3;3;GT Dyn;0.000137591
3;3;GT Dyn;0.000123598
3;3;GT Dyn;0.000120267
4;4;GT Dyn;0.000992784
4;4;GT Dyn;0.000961468
4;4;GT Dyn;0.000978125
5;5;GT Dyn;0.00174837
5;5;GT Dyn;0.00165408
5;5;GT Dyn;0.00164376
6;6;GT Dyn;0.00748053
6;6;GT Dyn;0.00738791
6;6;GT Dyn;0.00739391
8;8;GT Dyn;0.0755275
8;8;GT Dyn;0.0750195
8;8;GT Dyn;0.0749765
10;10;GT Dyn;0.416617
10;10;GT Dyn;0.417734
10;10;GT Dyn;0.417387
13;13;GT Dyn;0.35688
13;13;GT Dyn;0.362996
13;13;GT Dyn;0.355112
16;16;GT Dyn;1.50174
16;16;GT Dyn;1.50465
16;16;GT Dyn;1.50265
20;20;GT Dyn;3.03193
20;20;GT Dyn;3.03647
20;20;GT Dyn;3.0389
25;25;GT Dyn;126.362
25;25;GT Dyn;127.61
25;25;GT Dyn;127.543
32;32;GT Dyn;237.474
32;32;GT Dyn;237.571
