a;b;Algorithm;Time
3;3;KR Mod Dyn;0.000196225
3;3;KR Mod Dyn;0.000144587
3;3;KR Mod Dyn;0.000142921
3;3;KR Mod Dyn;0.000162577
3;3;KR Mod Dyn;0.000149251
3;3;KR Mod Dyn;0.00016291
4;4;KR Mod Dyn;0.00105908
4;4;KR Mod Dyn;0.00105042
4;4;KR Mod Dyn;0.00100178
5;5;KR Mod Dyn;0.00210517
5;5;KR Mod Dyn;0.00202888
5;5;KR Mod Dyn;0.00205053
6;6;KR Mod Dyn;0.00847398
6;6;KR Mod Dyn;0.00834372
6;6;KR Mod Dyn;0.00832739
8;8;KR Mod Dyn;0.0904666
8;8;KR Mod Dyn;0.0899752
8;8;KR Mod Dyn;0.0894065
10;10;KR Mod Dyn;0.624719
10;10;KR Mod Dyn;0.621675
10;10;KR Mod Dyn;0.62249
13;13;KR Mod Dyn;0.45843
13;13;KR Mod Dyn;0.460716
13;13;KR Mod Dyn;0.458957
16;16;KR Mod Dyn;2.30739
16;16;KR Mod Dyn;2.29106
16;16;KR Mod Dyn;2.29817
20;20;KR Mod Dyn;4.32825
20;20;KR Mod Dyn;4.33429
20;20;KR Mod Dyn;4.34158
25;25;KR Mod Dyn;288.509
25;25;KR Mod Dyn;294.983
