a;b;Algorithm;Time
3;3;KR Mod;9.89453e-005
3;3;KR Mod;6.52972e-005
3;3;KR Mod;6.9295e-005
3;3;KR Mod;8.26209e-005
3;3;KR Mod;6.39646e-005
3;3;KR Mod;6.69629e-005
4;4;KR Mod;0.00042843
4;4;KR Mod;0.000386453
4;4;KR Mod;0.000373793
5;5;KR Mod;0.00089717
5;5;KR Mod;0.000798558
5;5;KR Mod;0.000775571
6;6;KR Mod;0.00315359
6;6;KR Mod;0.00306464
6;6;KR Mod;0.00301933
8;8;KR Mod;0.0343883
8;8;KR Mod;0.03431
8;8;KR Mod;0.0341331
10;10;KR Mod;0.275851
10;10;KR Mod;0.275172
10;10;KR Mod;0.27616
13;13;KR Mod;0.17445
13;13;KR Mod;0.172815
13;13;KR Mod;0.172616
16;16;KR Mod;0.860559
16;16;KR Mod;0.858366
16;16;KR Mod;0.860641
20;20;KR Mod;1.77186
20;20;KR Mod;1.76068
20;20;KR Mod;1.76256
25;25;KR Mod;117.686
25;25;KR Mod;118.445
25;25;KR Mod;118.316
32;32;KR Mod;349.251
