a;b;Algorithm;Time
3;2;GTGRE2;2.69851e-005
3;2;GTGRE2;9.99447e-006
3;2;GTGRE2;8.99502e-006
4;2;GTGRE2;1.89895e-005
4;2;GTGRE2;1.76569e-005
4;2;GTGRE2;1.59912e-005
5;2;GTGRE2;3.59801e-005
5;2;GTGRE2;2.99834e-005
5;2;GTGRE2;2.79845e-005
7;3;GTGRE2;0.000128596
7;3;GTGRE2;0.000121933
7;3;GTGRE2;0.0001206
9;3;GTGRE2;0.000263854
9;3;GTGRE2;0.000272183
9;3;GTGRE2;0.000264853
12;3;GTGRE2;0.000552028
12;3;GTGRE2;0.000549363
12;3;GTGRE2;0.000541034
16;4;GTGRE2;0.00208984
16;4;GTGRE2;0.00209084
16;4;GTGRE2;0.00209851
21;5;GTGRE2;0.00771107
21;5;GTGRE2;0.00761545
21;5;GTGRE2;0.00760646
28;5;GTGRE2;0.0178035
28;5;GTGRE2;0.0177962
28;5;GTGRE2;0.0182139
37;6;GTGRE2;0.0588248
37;6;GTGRE2;0.0585556
37;6;GTGRE2;0.0589164
49;7;GTGRE2;0.191898
49;7;GTGRE2;0.190168
49;7;GTGRE2;0.193583
64;8;GTGRE2;0.811019
64;8;GTGRE2;0.810075
64;8;GTGRE2;0.808367
84;9;GTGRE2;2.82118
84;9;GTGRE2;2.81166
84;9;GTGRE2;2.77159
111;11;GTGRE2;12.0635
111;11;GTGRE2;12.0789
111;11;GTGRE2;12.0587
147;12;GTGRE2;36.7429
147;12;GTGRE2;36.6988
147;12;GTGRE2;36.6009
194;14;GTGRE2;125.818
194;14;GTGRE2;125.375
194;14;GTGRE2;125.975
