a;b;Algorithm;Time
3;2;KRLMGRE2;7.66243e-005
3;2;KRLMGRE2;4.19768e-005
3;2;KRLMGRE2;3.93116e-005
4;2;KRLMGRE2;9.09497e-005
4;2;KRLMGRE2;6.79624e-005
4;2;KRLMGRE2;6.22989e-005
5;2;KRLMGRE2;0.000147585
5;2;KRLMGRE2;0.000110605
5;2;KRLMGRE2;0.000113271
7;3;KRLMGRE2;0.000598336
7;3;KRLMGRE2;0.000521711
7;3;KRLMGRE2;0.000532705
9;3;KRLMGRE2;0.0040934
9;3;KRLMGRE2;0.00399112
9;3;KRLMGRE2;0.00395048
12;3;KRLMGRE2;0.0125307
12;3;KRLMGRE2;0.0123075
12;3;KRLMGRE2;0.0124888
16;4;KRLMGRE2;0.0551288
16;4;KRLMGRE2;0.055995
16;4;KRLMGRE2;0.054851
21;5;KRLMGRE2;0.23127
21;5;KRLMGRE2;0.230356
21;5;KRLMGRE2;0.22929
28;5;KRLMGRE2;0.799284
28;5;KRLMGRE2;0.789254
28;5;KRLMGRE2;0.793789
37;6;KRLMGRE2;2.93727
37;6;KRLMGRE2;2.92492
37;6;KRLMGRE2;2.92923
49;7;KRLMGRE2;10.1871
49;7;KRLMGRE2;10.1955
49;7;KRLMGRE2;10.1851
64;8;KRLMGRE2;39.3038
64;8;KRLMGRE2;39.3574
64;8;KRLMGRE2;39.3229
84;9;KRLMGRE2;146.067
84;9;KRLMGRE2;144.524
84;9;KRLMGRE2;147.018
