a;b;Algorithm;Time
2;4;KRLMGRE2;0.000112604
2;4;KRLMGRE2;7.66243e-005
2;4;KRLMGRE2;6.69629e-005
2;6;KRLMGRE2;9.66132e-005
2;6;KRLMGRE2;8.09552e-005
2;6;KRLMGRE2;7.86232e-005
3;8;KRLMGRE2;0.000616659
3;8;KRLMGRE2;0.000558358
3;8;KRLMGRE2;0.000565687
3;11;KRLMGRE2;0.000824211
3;11;KRLMGRE2;0.000757248
3;11;KRLMGRE2;0.000742922
4;16;KRLMGRE2;0.00374859
4;16;KRLMGRE2;0.00359135
4;16;KRLMGRE2;0.00364831
5;23;KRLMGRE2;0.0116809
5;23;KRLMGRE2;0.0114323
5;23;KRLMGRE2;0.0111508
6;32;KRLMGRE2;0.0369929
6;32;KRLMGRE2;0.0359205
6;32;KRLMGRE2;0.0359285
7;45;KRLMGRE2;0.0940746
7;45;KRLMGRE2;0.092832
7;45;KRLMGRE2;0.0934863
8;64;KRLMGRE2;0.231206
8;64;KRLMGRE2;0.2266
8;64;KRLMGRE2;0.226723
10;91;KRLMGRE2;0.823592
10;91;KRLMGRE2;0.820328
10;91;KRLMGRE2;0.818506
11;128;KRLMGRE2;1.85721
11;128;KRLMGRE2;1.84115
11;128;KRLMGRE2;1.84325
13;181;KRLMGRE2;5.68208
13;181;KRLMGRE2;5.64164
13;181;KRLMGRE2;5.65066
16;256;KRLMGRE2;19.3488
16;256;KRLMGRE2;19.2747
16;256;KRLMGRE2;19.2747
19;362;KRLMGRE2;57.2888
19;362;KRLMGRE2;57.4202
19;362;KRLMGRE2;57.1142
23;512;KRLMGRE2;181.108
23;512;KRLMGRE2;180.878
23;512;KRLMGRE2;180.981
