a;b;Algorithm;Time
3;3;KR1992MDRGR;0.000414437
3;3;KR1992MDRGR;0.000322821
3;3;KR1992MDRGR;0.000321489
3;3;KR1992MDRGR;0.0003618
3;3;KR1992MDRGR;0.000322488
3;3;KR1992MDRGR;0.000266519
4;4;KR1992MDRGR;0.0011377
4;4;KR1992MDRGR;0.00108007
4;4;KR1992MDRGR;0.00107507
5;5;KR1992MDRGR;0.00340512
5;5;KR1992MDRGR;0.00333549
5;5;KR1992MDRGR;0.00330817
6;6;KR1992MDRGR;0.0106501
6;6;KR1992MDRGR;0.00852861
6;6;KR1992MDRGR;0.00834705
8;8;KR1992MDRGR;0.0381799
8;8;KR1992MDRGR;0.037904
8;8;KR1992MDRGR;0.0379117
10;10;KR1992MDRGR;0.143255
10;10;KR1992MDRGR;0.142532
10;10;KR1992MDRGR;0.143106
13;13;KR1992MDRGR;0.651745
13;13;KR1992MDRGR;0.649383
13;13;KR1992MDRGR;0.652009
16;16;KR1992MDRGR;2.08675
16;16;KR1992MDRGR;2.0847
16;16;KR1992MDRGR;2.08016
20;20;KR1992MDRGR;10.4765
20;20;KR1992MDRGR;10.3788
20;20;KR1992MDRGR;10.4157
25;25;KR1992MDRGR;34.1716
25;25;KR1992MDRGR;35.0421
25;25;KR1992MDRGR;34.9565
32;32;KR1992MDRGR;177.042
32;32;KR1992MDRGR;177.673
32;32;KR1992MDRGR;177.426
