a;b;Algorithm;Time
3;3;KR1992M3RGR;0.000216214
3;3;KR1992M3RGR;0.000160245
3;3;KR1992M3RGR;0.000159912
3;3;KR1992M3RGR;0.000180567
3;3;KR1992M3RGR;0.000102943
3;3;KR1992M3RGR;0.000100944
4;4;KR1992M3RGR;0.000590007
4;4;KR1992M3RGR;0.000543033
4;4;KR1992M3RGR;0.000531039
5;5;KR1992M3RGR;0.00140489
5;5;KR1992M3RGR;0.00130328
5;5;KR1992M3RGR;0.00130295
6;6;KR1992M3RGR;0.00225775
6;6;KR1992M3RGR;0.00216314
6;6;KR1992M3RGR;0.00205886
8;8;KR1992M3RGR;0.0171265
8;8;KR1992M3RGR;0.0146169
8;8;KR1992M3RGR;0.0129692
10;10;KR1992M3RGR;0.0476093
10;10;KR1992M3RGR;0.0469477
10;10;KR1992M3RGR;0.046923
13;13;KR1992M3RGR;0.210395
13;13;KR1992M3RGR;0.212478
13;13;KR1992M3RGR;0.209169
16;16;KR1992M3RGR;0.644282
16;16;KR1992M3RGR;0.645844
16;16;KR1992M3RGR;0.644091
20;20;KR1992M3RGR;2.40661
20;20;KR1992M3RGR;2.38937
20;20;KR1992M3RGR;2.38719
25;25;KR1992M3RGR;9.39534
25;25;KR1992M3RGR;9.4202
25;25;KR1992M3RGR;9.41559
32;32;KR1992M3RGR;57.8493
32;32;KR1992M3RGR;56.6921
32;32;KR1992M3RGR;57.0608
40;40;KR1992M3RGR;215.535
40;40;KR1992M3RGR;211.486
40;40;KR1992M3RGR;211.056
