Size;Algorithm;Time
18;BKLib;0.000148584
18;BKLib;0.00010894
18;BKLib;0.00010894
34;BKLib;0.000244865
34;BKLib;0.000241866
34;BKLib;0.000242866
66;BKLib;0.00054803
66;BKLib;0.000543366
66;BKLib;0.000543699
130;BKLib;0.00131994
130;BKLib;0.00131394
130;BKLib;0.00131461
258;BKLib;0.00348141
258;BKLib;0.00347441
258;BKLib;0.0034864
514;BKLib;0.0103543
514;BKLib;0.0103363
514;BKLib;0.0102507
1026;BKLib;0.0339695
1026;BKLib;0.0340202
1026;BKLib;0.0341424
2050;BKLib;0.12517
2050;BKLib;0.123855
2050;BKLib;0.123772
4098;BKLib;0.478262
4098;BKLib;0.478269
4098;BKLib;0.477788
8194;BKLib;1.86274
8194;BKLib;1.86254
8194;BKLib;1.86177
16386;BKLib;7.34622
16386;BKLib;7.3397
16386;BKLib;7.33843
32770;BKLib;30.0874
32770;BKLib;30.1353
32770;BKLib;30.1495
65538;BKLib;141.026
65538;BKLib;141.182
65538;BKLib;141.12
