Size;Algorithm;Time
18;GTLib;0.000445087
18;GTLib;0.000345809
18;GTLib;0.000412438
34;GTLib;0.000708275
34;GTLib;0.000708941
34;GTLib;0.000706942
66;GTLib;0.00163276
66;GTLib;0.0016331
66;GTLib;0.00162443
130;GTLib;0.00433427
130;GTLib;0.00429496
130;GTLib;0.00431894
258;GTLib;0.0130848
258;GTLib;0.0129698
258;GTLib;0.0128925
514;GTLib;0.0437361
514;GTLib;0.0436742
514;GTLib;0.04345
1026;GTLib;0.15921
1026;GTLib;0.158903
1026;GTLib;0.159336
2050;GTLib;0.605536
2050;GTLib;0.604922
2050;GTLib;0.603245
4098;GTLib;2.35724
4098;GTLib;2.36268
4098;GTLib;2.36392
8194;GTLib;9.33094
8194;GTLib;9.31437
8194;GTLib;9.33184
16386;GTLib;37.0179
16386;GTLib;37.0857
16386;GTLib;37.0475
32770;GTLib;148.306
32770;GTLib;148.115
32770;GTLib;148.491
