a;b;Algorithm;Time
3;3;EKLib;0.00124431
3;3;EKLib;0.00122132
3;3;EKLib;0.00120367
3;3;EKLib;0.00121799
3;3;EKLib;0.00119867
3;3;EKLib;0.00120733
4;4;EKLib;0.00706742
4;4;EKLib;0.00703278
4;4;EKLib;0.00708508
5;5;EKLib;0.0339779
5;5;EKLib;0.0260876
5;5;EKLib;0.025946
6;6;EKLib;0.110002
6;6;EKLib;0.109778
6;6;EKLib;0.109243
8;8;EKLib;0.536195
8;8;EKLib;0.533189
8;8;EKLib;0.535126
10;10;EKLib;2.39184
10;10;EKLib;2.38764
10;10;EKLib;2.40672
13;13;EKLib;11.8499
13;13;EKLib;11.9525
13;13;EKLib;11.9412
16;16;EKLib;44.8935
16;16;EKLib;46.5911
16;16;EKLib;47.2255
20;20;EKLib;216.805
20;20;EKLib;209.579
20;20;EKLib;210.379
