a;b;Algorithm;Time
3;3;GTLib;0.00095214
3;3;GTLib;0.000898836
3;3;GTLib;0.00095847
3;3;GTLib;0.000906832
3;3;GTLib;0.000892173
3;3;GTLib;0.000893172
4;4;GTLib;0.0025949
4;4;GTLib;0.00258823
4;4;GTLib;0.00258457
5;5;GTLib;0.00649874
5;5;GTLib;0.00648974
5;5;GTLib;0.00653105
6;6;GTLib;0.0134895
6;6;GTLib;0.0135718
6;6;GTLib;0.0134229
8;8;GTLib;0.0428686
8;8;GTLib;0.0428706
8;8;GTLib;0.0427543
10;10;GTLib;0.114056
10;10;GTLib;0.114502
10;10;GTLib;0.114436
13;13;GTLib;0.290087
13;13;GTLib;0.289628
13;13;GTLib;0.289602
16;16;GTLib;0.581107
16;16;GTLib;0.582202
16;16;GTLib;0.582093
20;20;GTLib;1.54298
20;20;GTLib;1.5427
20;20;GTLib;1.54353
25;25;GTLib;5.71219
25;25;GTLib;5.70621
25;25;GTLib;5.70667
32;32;GTLib;15.0674
32;32;GTLib;15.0686
32;32;GTLib;15.0787
40;40;GTLib;43.8628
40;40;GTLib;43.8774
40;40;GTLib;43.8663
51;51;GTLib;164.307
51;51;GTLib;164.324
51;51;GTLib;164.276
