a;b;Algorithm;Time
3;2;EKLib;0.000480401
3;2;EKLib;0.000453083
3;2;EKLib;0.000455082
4;2;EKLib;0.00136824
4;2;EKLib;0.00135792
4;2;EKLib;0.00135392
5;2;EKLib;0.0032472
5;2;EKLib;0.00329451
5;2;EKLib;0.00323954
7;3;EKLib;0.0402068
7;3;EKLib;0.0392253
7;3;EKLib;0.0388605
9;3;EKLib;0.115597
9;3;EKLib;0.115179
9;3;EKLib;0.11569
12;3;EKLib;0.361949
12;3;EKLib;0.359761
12;3;EKLib;0.361834
16;4;EKLib;2.47091
16;4;EKLib;2.4835
16;4;EKLib;2.49867
21;5;EKLib;11.6572
21;5;EKLib;11.7699
21;5;EKLib;11.637
28;5;EKLib;41.8492
28;5;EKLib;42.619
28;5;EKLib;42.0045
37;6;EKLib;252.502
37;6;EKLib;245.034
