a;b;Algorithm;Time
3;2;GTLib;0.000418768
3;2;GTLib;0.00036813
3;2;GTLib;0.000365798
4;2;GTLib;0.000728597
4;2;GTLib;0.000712939
4;2;GTLib;0.000701279
5;2;GTLib;0.00197357
5;2;GTLib;0.00196491
5;2;GTLib;0.00199656
7;3;GTLib;0.0083717
7;3;GTLib;0.0083134
7;3;GTLib;0.00841834
9;3;GTLib;0.0194782
9;3;GTLib;0.0196611
9;3;GTLib;0.0194792
12;3;GTLib;0.0429539
12;3;GTLib;0.0428839
12;3;GTLib;0.0427274
16;4;GTLib;0.135731
16;4;GTLib;0.135812
16;4;GTLib;0.135904
21;5;GTLib;0.510262
21;5;GTLib;0.511137
21;5;GTLib;0.51042
28;5;GTLib;0.960538
28;5;GTLib;0.960188
28;5;GTLib;0.959744
37;6;GTLib;2.76808
37;6;GTLib;2.76851
37;6;GTLib;2.76921
49;7;GTLib;10.1947
49;7;GTLib;10.2046
49;7;GTLib;10.2335
64;8;GTLib;29.7943
64;8;GTLib;29.7971
64;8;GTLib;29.7926
84;9;GTLib;94.8565
84;9;GTLib;94.8112
84;9;GTLib;94.8051
111;11;GTLib;367.39
