a;b;Algorithm;Time
2;4;EKLib;0.000856526
2;4;EKLib;0.000818547
2;4;EKLib;0.000847531
2;6;EKLib;0.00126563
2;6;EKLib;0.00125464
2;6;EKLib;0.00124931
3;8;EKLib;0.0149097
3;8;EKLib;0.00888442
3;8;EKLib;0.00892273
3;11;EKLib;0.0172971
3;11;EKLib;0.0173471
3;11;EKLib;0.0173061
4;16;EKLib;0.125206
4;16;EKLib;0.122796
4;16;EKLib;0.123544
5;23;EKLib;0.485034
5;23;EKLib;0.486904
5;23;EKLib;0.485955
6;32;EKLib;2.05191
6;32;EKLib;2.04944
6;32;EKLib;2.04102
7;45;EKLib;9.91478
7;45;EKLib;9.87316
7;45;EKLib;9.81248
8;64;EKLib;36.463
8;64;EKLib;37.0623
8;64;EKLib;36.3736
10;91;EKLib;226.985
10;91;EKLib;225.552
10;91;EKLib;224.561
