Size;Algorithm;Time
18;EKLib;0.000483401
18;EKLib;0.000423767
18;EKLib;0.000423767
34;EKLib;0.00141989
34;EKLib;0.00141422
34;EKLib;0.00141222
66;EKLib;0.00513951
66;EKLib;0.00515583
66;EKLib;0.00514117
130;EKLib;0.0196215
130;EKLib;0.0196675
130;EKLib;0.0196075
258;EKLib;0.0770686
258;EKLib;0.077625
258;EKLib;0.0769134
514;EKLib;0.311417
514;EKLib;0.30944
514;EKLib;0.306966
1026;EKLib;1.22025
1026;EKLib;1.22134
1026;EKLib;1.21775
2050;EKLib;4.85487
2050;EKLib;4.86028
2050;EKLib;4.86732
4098;EKLib;19.4526
4098;EKLib;19.466
4098;EKLib;19.4693
8194;EKLib;78.9546
8194;EKLib;79.3362
8194;EKLib;79.3786
16386;EKLib;344.789
