a;b;Algorithm;Time
3;3;BKLib;0.00029084
3;3;BKLib;0.000250862
3;3;BKLib;0.000252195
3;3;BKLib;0.000270185
3;3;BKLib;0.000254194
3;3;BKLib;0.00025386
4;4;BKLib;0.000907501
4;4;BKLib;0.000899838
4;4;BKLib;0.000899838
5;5;BKLib;0.00292872
5;5;BKLib;0.00292173
5;5;BKLib;0.00291773
6;6;BKLib;0.00748855
6;6;BKLib;0.00743125
6;6;BKLib;0.00746756
8;8;BKLib;0.0256339
8;8;BKLib;0.0251901
8;8;BKLib;0.0251538
10;10;BKLib;0.0960175
10;10;BKLib;0.0959429
10;10;BKLib;0.0960109
13;13;BKLib;0.410706
13;13;BKLib;0.40849
13;13;BKLib;0.406705
16;16;BKLib;1.22826
16;16;BKLib;1.23131
16;16;BKLib;1.23303
20;20;BKLib;4.43824
20;20;BKLib;4.445
20;20;BKLib;4.44169
25;25;BKLib;24.727
25;25;BKLib;24.7279
25;25;BKLib;24.7236
32;32;BKLib;129.931
32;32;BKLib;129.345
32;32;BKLib;129.356
