a;b;Algorithm;Time
2;4;BKLib;0.00018823
2;4;BKLib;0.000142588
2;4;BKLib;0.000145253
2;6;BKLib;0.000226542
2;6;BKLib;0.000209551
2;6;BKLib;0.000208885
3;8;BKLib;0.00126797
3;8;BKLib;0.00126497
3;8;BKLib;0.00126131
3;11;BKLib;0.00198258
3;11;BKLib;0.00205087
3;11;BKLib;0.00197658
4;16;BKLib;0.00974764
4;16;BKLib;0.0098176
4;16;BKLib;0.00978995
5;23;BKLib;0.0199767
5;23;BKLib;0.0198644
5;23;BKLib;0.0197375
6;32;BKLib;0.0465947
6;32;BKLib;0.0464081
6;32;BKLib;0.0464318
7;45;BKLib;0.210544
7;45;BKLib;0.211099
7;45;BKLib;0.209929
8;64;BKLib;0.536131
8;64;BKLib;0.533823
8;64;BKLib;0.534386
10;91;BKLib;1.80795
10;91;BKLib;1.81239
10;91;BKLib;1.80891
11;128;BKLib;4.18741
11;128;BKLib;4.18428
11;128;BKLib;4.18709
13;181;BKLib;13.4476
13;181;BKLib;13.45
13;181;BKLib;13.4565
16;256;BKLib;57.8252
16;256;BKLib;57.8376
16;256;BKLib;57.8379
19;362;BKLib;180.162
19;362;BKLib;180.16
19;362;BKLib;180.183
