a;b;Algorithm;Time
2;4;GTLib;0.000551697
2;4;GTLib;0.000496061
2;4;GTLib;0.000524378
2;6;GTLib;0.000586344
2;6;GTLib;0.000575017
2;6;GTLib;0.000593007
3;8;GTLib;0.00237503
3;8;GTLib;0.00236903
3;8;GTLib;0.0023677
3;11;GTLib;0.00373561
3;11;GTLib;0.0037536
3;11;GTLib;0.00373761
4;16;GTLib;0.0125724
4;16;GTLib;0.0125041
4;16;GTLib;0.0124621
5;23;GTLib;0.0310099
5;23;GTLib;0.0311255
5;23;GTLib;0.0310636
6;32;GTLib;0.0792238
6;32;GTLib;0.0791478
6;32;GTLib;0.0790479
7;45;GTLib;0.151149
7;45;GTLib;0.15116
7;45;GTLib;0.150853
8;64;GTLib;0.376527
8;64;GTLib;0.376913
8;64;GTLib;0.377389
10;91;GTLib;1.28625
10;91;GTLib;1.28594
10;91;GTLib;1.28673
11;128;GTLib;2.73807
11;128;GTLib;2.73786
11;128;GTLib;2.74161
13;181;GTLib;9.06739
13;181;GTLib;9.06645
13;181;GTLib;9.06565
16;256;GTLib;36.6448
16;256;GTLib;36.6427
16;256;GTLib;36.6417
19;362;GTLib;132.366
19;362;GTLib;132.385
19;362;GTLib;132.363
