Size;Algorithm;Time
18;Dinic;1.86563e-005
18;Dinic;1.26597e-005
18;Dinic;1.59912e-005
34;Dinic;2.99834e-005
34;Dinic;3.19823e-005
34;Dinic;2.76514e-005
66;Dinic;8.09552e-005
66;Dinic;8.22878e-005
66;Dinic;8.12884e-005
130;Dinic;0.000251194
130;Dinic;0.000267852
130;Dinic;0.000255858
258;Dinic;0.00105475
258;Dinic;0.000991785
258;Dinic;0.00098712
514;Dinic;0.00402444
514;Dinic;0.00401245
514;Dinic;0.00400012
1026;Dinic;0.0161464
1026;Dinic;0.0161611
1026;Dinic;0.0161484
2050;Dinic;0.0738441
2050;Dinic;0.0740537
2050;Dinic;0.0742336
4098;Dinic;0.320541
4098;Dinic;0.324955
4098;Dinic;0.3239
8194;Dinic;1.35337
8194;Dinic;1.34725
8194;Dinic;1.33985
16386;Dinic;5.66055
16386;Dinic;5.61328
16386;Dinic;5.65208
32770;Dinic;23.1004
32770;Dinic;22.9556
32770;Dinic;23.0177
