Size;Algorithm;Time
18;EK;1.89895e-005
18;EK;1.03276e-005
18;EK;6.99613e-006
34;EK;1.66574e-005
34;EK;1.59912e-005
34;EK;1.43254e-005
66;EK;4.09773e-005
66;EK;4.0311e-005
66;EK;4.56414e-005
130;EK;0.000141588
130;EK;0.00013326
130;EK;0.000145919
258;EK;0.000563355
258;EK;0.000558358
258;EK;0.000580346
514;EK;0.00221877
514;EK;0.0022301
514;EK;0.00224876
1026;EK;0.00913161
1026;EK;0.00878181
1026;EK;0.009033
2050;EK;0.0388682
2050;EK;0.0389984
2050;EK;0.0396571
4098;EK;0.162588
4098;EK;0.162143
4098;EK;0.165488
8194;EK;0.67199
8194;EK;0.661375
8194;EK;0.67945
16386;EK;2.74179
16386;EK;2.67017
16386;EK;2.70791
32770;EK;10.7704
32770;EK;10.7195
32770;EK;11.108
