Size;Algorithm;Time
18;GR;0.00056069
18;GR;0.000511051
18;GR;0.000502389
34;GR;0.00152216
34;GR;0.00147951
34;GR;0.00147752
66;GR;0.00359201
66;GR;0.00359901
66;GR;0.00359001
130;GR;0.0130431
130;GR;0.0125904
130;GR;0.0124684
258;GR;0.0344546
258;GR;0.0343147
258;GR;0.0345026
514;GR;0.113406
514;GR;0.112935
514;GR;0.113319
1026;GR;0.332166
1026;GR;0.331077
1026;GR;0.331621
2050;GR;1.09834
2050;GR;1.09107
2050;GR;1.09236
4098;GR;3.16896
4098;GR;3.17037
4098;GR;3.17033
8194;GR;10.3692
8194;GR;10.3412
8194;GR;10.3524
16386;GR;30.2333
16386;GR;30.2276
16386;GR;30.2178
32770;GR;97.458
32770;GR;97.2839
32770;GR;97.6713
