Size;Algorithm;Time
18;GTDGR;9.1616e-005
18;GTDGR;5.23044e-005
18;GTDGR;4.73072e-005
34;GTDGR;0.000114603
34;GTDGR;8.29541e-005
34;GTDGR;7.92895e-005
66;GTDGR;0.000227541
66;GTDGR;0.000221877
66;GTDGR;0.000231205
130;GTDGR;0.000725599
130;GTDGR;0.000717936
130;GTDGR;0.000722267
258;GTDGR;0.00262421
258;GTDGR;0.00262155
258;GTDGR;0.00259023
514;GTDGR;0.00989919
514;GTDGR;0.0100604
514;GTDGR;0.0101271
1026;GTDGR;0.0390034
1026;GTDGR;0.0392183
1026;GTDGR;0.0395858
2050;GTDGR;0.161576
2050;GTDGR;0.161078
2050;GTDGR;0.161183
4098;GTDGR;0.662252
4098;GTDGR;0.661909
4098;GTDGR;0.660838
8194;GTDGR;2.71641
8194;GTDGR;2.70999
8194;GTDGR;2.71621
16386;GTDGR;11.2783
16386;GTDGR;11.3153
16386;GTDGR;11.3324
32770;GTDGR;55.8553
32770;GTDGR;56.1413
32770;GTDGR;55.7181
65538;GTDGR;205.316
65538;GTDGR;204.481
65538;GTDGR;205.413
131074;GTDGR;892.917
131074;GTDGR;896.24
131074;GTDGR;892.616
