Size;Algorithm;Time
18;GT Dyn;4.26431e-005
18;GT Dyn;2.93171e-005
18;GT Dyn;2.53193e-005
34;GT Dyn;4.63077e-005
34;GT Dyn;5.06386e-005
34;GT Dyn;5.09718e-005
66;GT Dyn;0.000113937
66;GT Dyn;0.000120267
66;GT Dyn;0.000113604
130;GT Dyn;0.000265853
130;GT Dyn;0.000267185
130;GT Dyn;0.000281178
258;GT Dyn;0.00073526
258;GT Dyn;0.000733594
258;GT Dyn;0.000730263
514;GT Dyn;0.00194026
514;GT Dyn;0.00193326
514;GT Dyn;0.00193493
1026;GT Dyn;0.00544632
1026;GT Dyn;0.00544232
1026;GT Dyn;0.00541467
2050;GT Dyn;0.0149517
2050;GT Dyn;0.0149058
2050;GT Dyn;0.0149577
4098;GT Dyn;0.0409513
4098;GT Dyn;0.0408944
4098;GT Dyn;0.0407148
8194;GT Dyn;0.118668
8194;GT Dyn;0.117472
8194;GT Dyn;0.11812
16386;GT Dyn;0.343758
16386;GT Dyn;0.33866
16386;GT Dyn;0.338423
32770;GT Dyn;0.973692
32770;GT Dyn;0.949179
32770;GT Dyn;0.951594
