Size;Algorithm;Time
18;GTN3GR;5.5969e-005
18;GTN3GR;2.26541e-005
18;GTN3GR;2.36536e-005
34;GTN3GR;4.93061e-005
34;GTN3GR;4.96392e-005
34;GTN3GR;5.26375e-005
66;GTN3GR;0.000131594
66;GTN3GR;0.00013326
66;GTN3GR;0.00013326
130;GTN3GR;0.000409773
130;GTN3GR;0.000409107
130;GTN3GR;0.000432761
258;GTN3GR;0.00159645
258;GTN3GR;0.00160378
258;GTN3GR;0.00161644
514;GTN3GR;0.00623488
514;GTN3GR;0.00629119
514;GTN3GR;0.00619524
1026;GTN3GR;0.0212196
1026;GTN3GR;0.0123815
1026;GTN3GR;0.0124554
2050;GTN3GR;0.0604839
2050;GTN3GR;0.050022
2050;GTN3GR;0.0515928
4098;GTN3GR;0.20903
4098;GTN3GR;0.200582
4098;GTN3GR;0.205362
8194;GTN3GR;0.810468
8194;GTN3GR;0.826069
8194;GTN3GR;0.805209
16386;GTN3GR;3.26527
16386;GTN3GR;3.25655
16386;GTN3GR;3.32824
32770;GTN3GR;13.3155
32770;GTN3GR;13.3665
32770;GTN3GR;13.2381
65538;GTN3GR;88.266
65538;GTN3GR;87.599
65538;GTN3GR;87.3638
131074;GTN3GR;402.494
131074;GTN3GR;402.43
131074;GTN3GR;399.51
262146;GTN3GR;1728.96
