Size;Algorithm;Time
18;GT N3;1.29928e-005
18;GT N3;9.32817e-006
18;GT N3;9.66132e-006
34;GT N3;1.799e-005
34;GT N3;1.69906e-005
34;GT N3;1.76569e-005
66;GT N3;4.39757e-005
66;GT N3;4.56414e-005
66;GT N3;4.4642e-005
130;GT N3;0.000108607
130;GT N3;0.000104609
130;GT N3;0.000111272
258;GT N3;0.000331483
258;GT N3;0.000348141
258;GT N3;0.000332816
514;GT N3;0.0012593
514;GT N3;0.00123532
514;GT N3;0.00122732
1026;GT N3;0.00430362
1026;GT N3;0.00435726
1026;GT N3;0.00434959
2050;GT N3;0.0150623
2050;GT N3;0.015123
2050;GT N3;0.0151213
4098;GT N3;0.0572543
4098;GT N3;0.0549389
4098;GT N3;0.0555776
8194;GT N3;0.197755
8194;GT N3;0.196861
8194;GT N3;0.196574
16386;GT N3;0.730314
16386;GT N3;0.726973
16386;GT N3;0.717744
32770;GT N3;2.56217
32770;GT N3;2.59066
32770;GT N3;2.59463
