Size;Algorithm;Time
18;KR Mod Dyn;0.000111272
18;KR Mod Dyn;5.46364e-005
18;KR Mod Dyn;5.56359e-005
34;KR Mod Dyn;0.000124931
34;KR Mod Dyn;0.000110272
34;KR Mod Dyn;0.00011427
66;KR Mod Dyn;0.000328485
66;KR Mod Dyn;0.000294504
66;KR Mod Dyn;0.000295503
130;KR Mod Dyn;0.000872517
130;KR Mod Dyn;0.000857859
130;KR Mod Dyn;0.0008442
258;KR Mod Dyn;0.00305431
258;KR Mod Dyn;0.00300467
258;KR Mod Dyn;0.00302
514;KR Mod Dyn;0.0142365
514;KR Mod Dyn;0.0142185
514;KR Mod Dyn;0.0110079
1026;KR Mod Dyn;0.057242
1026;KR Mod Dyn;0.0609423
1026;KR Mod Dyn;0.0429456
2050;KR Mod Dyn;0.176034
2050;KR Mod Dyn;0.191032
2050;KR Mod Dyn;0.17348
4098;KR Mod Dyn;0.949635
4098;KR Mod Dyn;0.697652
4098;KR Mod Dyn;0.778985
8194;KR Mod Dyn;3.79546
8194;KR Mod Dyn;3.7806
8194;KR Mod Dyn;3.77587
16386;KR Mod Dyn;11.4157
16386;KR Mod Dyn;13.0063
16386;KR Mod Dyn;11.4574
32770;KR Mod Dyn;51.7622
32770;KR Mod Dyn;51.0919
32770;KR Mod Dyn;53.0179
