Size;Algorithm;Time
18;KR Mod;7.1627e-005
18;KR Mod;3.46475e-005
18;KR Mod;3.39812e-005
34;KR Mod;7.69574e-005
34;KR Mod;6.19657e-005
34;KR Mod;7.76237e-005
66;KR Mod;0.00019256
66;KR Mod;0.000167574
66;KR Mod;0.000171239
130;KR Mod;0.00047607
130;KR Mod;0.0012643
130;KR Mod;0.000424099
258;KR Mod;0.00139889
258;KR Mod;0.00130594
258;KR Mod;0.00129728
514;KR Mod;0.00413271
514;KR Mod;0.00453582
514;KR Mod;0.00215447
1026;KR Mod;0.00870985
1026;KR Mod;0.00903367
1026;KR Mod;0.0164302
2050;KR Mod;0.0315709
2050;KR Mod;0.0362663
2050;KR Mod;0.0707752
4098;KR Mod;0.111007
4098;KR Mod;0.277328
4098;KR Mod;0.266157
8194;KR Mod;0.423655
8194;KR Mod;1.09455
8194;KR Mod;0.424535
16386;KR Mod;4.47338
16386;KR Mod;4.52818
16386;KR Mod;4.50185
32770;KR Mod;21.1214
32770;KR Mod;21.0267
32770;KR Mod;21.0799
