Size;Algorithm;Time
18;KR1992GR;0.00100311
18;KR1992GR;0.000884511
18;KR1992GR;0.000902167
34;KR1992GR;0.00329284
34;KR1992GR;0.00290006
34;KR1992GR;0.00299035
66;KR1992GR;0.015011
66;KR1992GR;0.0123345
66;KR1992GR;0.0127373
130;KR1992GR;0.0544112
130;KR1992GR;0.0503088
130;KR1992GR;0.058504
258;KR1992GR;0.202664
258;KR1992GR;0.218092
258;KR1992GR;0.201702
514;KR1992GR;0.811085
514;KR1992GR;0.846837
514;KR1992GR;0.807804
1026;KR1992GR;3.53465
1026;KR1992GR;3.54528
1026;KR1992GR;3.25355
2050;KR1992GR;13.3625
2050;KR1992GR;13.3154
2050;KR1992GR;15.7832
4098;KR1992GR;2614.05
