Size;Algorithm;Time
18;KR1992M3GR;0.000106275
18;KR1992M3GR;5.99668e-005
18;KR1992M3GR;6.09663e-005
34;KR1992M3GR;0.000138923
34;KR1992M3GR;0.0001196
34;KR1992M3GR;0.000122266
66;KR1992M3GR;0.000285509
66;KR1992M3GR;0.000257857
66;KR1992M3GR;0.000254859
130;KR1992M3GR;0.000701612
130;KR1992M3GR;0.000657969
130;KR1992M3GR;0.0006623
258;KR1992M3GR;0.00209551
258;KR1992M3GR;0.00196891
258;KR1992M3GR;0.00194059
514;KR1992M3GR;0.00686387
514;KR1992M3GR;0.00671329
514;KR1992M3GR;0.00672161
1026;KR1992M3GR;0.0229743
1026;KR1992M3GR;0.0157316
1026;KR1992M3GR;0.0154288
2050;KR1992M3GR;0.0580216
2050;KR1992M3GR;0.0522284
2050;KR1992M3GR;0.0519063
4098;KR1992M3GR;0.218711
4098;KR1992M3GR;0.210849
4098;KR1992M3GR;0.215891
8194;KR1992M3GR;0.850834
8194;KR1992M3GR;0.868116
8194;KR1992M3GR;0.857034
16386;KR1992M3GR;3.43606
16386;KR1992M3GR;3.47586
16386;KR1992M3GR;3.47685
32770;KR1992M3GR;24.4739
32770;KR1992M3GR;26.1129
32770;KR1992M3GR;25.2233
65538;KR1992M3GR;113.307
65538;KR1992M3GR;120.518
65538;KR1992M3GR;121.76
131074;KR1992M3GR;536.97
131074;KR1992M3GR;552.08
131074;KR1992M3GR;551.421
