Size;Algorithm;Time
32;Dinic;4.49751e-005
32;Dinic;3.46475e-005
32;Dinic;3.86453e-005
64;Dinic;0.000269851
64;Dinic;0.000132593
64;Dinic;0.000128929
128;Dinic;0.00073426
128;Dinic;0.000727931
128;Dinic;0.000735926
256;Dinic;0.00532938
256;Dinic;0.00486631
256;Dinic;0.00485665
512;Dinic;0.0416789
512;Dinic;0.0394618
512;Dinic;0.0399219
1024;Dinic;0.429076
1024;Dinic;0.43213
1024;Dinic;0.433535
2048;Dinic;4.486
2048;Dinic;4.48402
2048;Dinic;4.48633
4096;Dinic;36.738
4096;Dinic;36.798
4096;Dinic;36.9382
8192;Dinic;352.773
