Size;Algorithm;Time
32;GTDGR;5.26375e-005
32;GTDGR;3.39812e-005
32;GTDGR;3.63132e-005
64;GTDGR;0.000100944
64;GTDGR;9.92784e-005
64;GTDGR;0.000121933
128;GTDGR;0.000374459
128;GTDGR;0.000374793
128;GTDGR;0.000380456
256;GTDGR;0.00137091
256;GTDGR;0.00138224
256;GTDGR;0.00137157
512;GTDGR;0.00627753
512;GTDGR;0.00628819
512;GTDGR;0.00620057
1024;GTDGR;0.0353561
1024;GTDGR;0.0358392
1024;GTDGR;0.0355147
2048;GTDGR;0.164277
2048;GTDGR;0.16462
2048;GTDGR;0.164338
4096;GTDGR;0.709723
4096;GTDGR;0.708844
4096;GTDGR;0.709074
8192;GTDGR;2.85308
