Size;Algorithm;Time
32;GT Dyn;5.19712e-005
32;GT Dyn;3.56469e-005
32;GT Dyn;3.49806e-005
64;GT Dyn;9.96115e-005
64;GT Dyn;9.86121e-005
64;GT Dyn;0.000124931
128;GT Dyn;0.000354804
128;GT Dyn;0.000355803
128;GT Dyn;0.000348141
256;GT Dyn;0.00137457
256;GT Dyn;0.00137091
256;GT Dyn;0.00162976
512;GT Dyn;0.00598669
512;GT Dyn;0.00597569
512;GT Dyn;0.00597836
1024;GT Dyn;0.0245734
1024;GT Dyn;0.0246537
1024;GT Dyn;0.0246967
2048;GT Dyn;0.0992178
2048;GT Dyn;0.0995336
2048;GT Dyn;0.099464
4096;GT Dyn;0.426209
4096;GT Dyn;0.426266
4096;GT Dyn;0.425998
8192;GT Dyn;1.7047
