Size;Algorithm;Time
32;GTN3GR;2.79845e-005
32;GTN3GR;2.03221e-005
32;GTN3GR;2.26541e-005
64;GTN3GR;6.36315e-005
64;GTN3GR;6.16326e-005
64;GTN3GR;8.69519e-005
128;GTN3GR;0.000227874
128;GTN3GR;0.000221877
128;GTN3GR;0.00022321
256;GTN3GR;0.000856193
256;GTN3GR;0.000851529
256;GTN3GR;0.000860191
512;GTN3GR;0.00420701
512;GTN3GR;0.00424832
512;GTN3GR;0.00392683
1024;GTN3GR;0.0182346
1024;GTN3GR;0.0181693
1024;GTN3GR;0.0181759
2048;GTN3GR;0.0736459
2048;GTN3GR;0.0736069
2048;GTN3GR;0.0737792
4096;GTN3GR;0.335395
4096;GTN3GR;0.336047
4096;GTN3GR;0.332564
8192;GTN3GR;1.37418
