Size;Algorithm;Time
32;GT N3;3.96447e-005
32;GT N3;2.19878e-005
32;GT N3;2.4653e-005
64;GT N3;7.32928e-005
64;GT N3;6.69629e-005
64;GT N3;7.06276e-005
128;GT N3;0.000263854
128;GT N3;0.00026552
128;GT N3;0.000269518
256;GT N3;0.0010321
256;GT N3;0.00104376
256;GT N3;0.000990785
512;GT N3;0.00489063
512;GT N3;0.00475204
512;GT N3;0.00473338
1024;GT N3;0.0211403
1024;GT N3;0.0211426
1024;GT N3;0.0210967
2048;GT N3;0.0852448
2048;GT N3;0.0853994
2048;GT N3;0.0853831
4096;GT N3;0.396618
4096;GT N3;0.396724
4096;GT N3;0.39588
8192;GT N3;1.61996
