Size;Algorithm;Time
32;KR Mod;0.000448752
32;KR Mod;0.000306497
32;KR Mod;0.000257524
64;KR Mod;0.00159678
64;KR Mod;0.00107441
64;KR Mod;0.00126297
128;KR Mod;0.00815682
128;KR Mod;0.00615626
128;KR Mod;0.00623189
256;KR Mod;0.0447439
256;KR Mod;0.0404866
256;KR Mod;0.0397647
512;KR Mod;0.217638
512;KR Mod;0.170383
512;KR Mod;0.169958
1024;KR Mod;0.917782
1024;KR Mod;0.794241
1024;KR Mod;0.787759
2048;KR Mod;4.32805
2048;KR Mod;3.18706
2048;KR Mod;4.43546
4096;KR Mod;26.6154
4096;KR Mod;19.7029
4096;KR Mod;24.0499
8192;KR Mod;324.265
