Size;Algorithm;Time
32;KR1992MDGR;0.00102643
32;KR1992MDGR;0.000667964
32;KR1992MDGR;0.000635981
64;KR1992MDGR;0.00357369
64;KR1992MDGR;0.00245697
64;KR1992MDGR;0.00275214
128;KR1992MDGR;0.00864222
128;KR1992MDGR;0.0062099
128;KR1992MDGR;0.00611895
256;KR1992MDGR;0.0377261
256;KR1992MDGR;0.0297762
256;KR1992MDGR;0.0300061
512;KR1992MDGR;0.193378
512;KR1992MDGR;0.161753
512;KR1992MDGR;0.160356
1024;KR1992MDGR;0.884336
1024;KR1992MDGR;0.82967
1024;KR1992MDGR;0.750048
2048;KR1992MDGR;4.06936
2048;KR1992MDGR;3.81103
2048;KR1992MDGR;3.5367
4096;KR1992MDGR;18.8875
4096;KR1992MDGR;17.6893
4096;KR1992MDGR;16.6409
