Size;Algorithm;Time
32;Dinic;5.43033e-005
32;Dinic;4.19768e-005
32;Dinic;4.59746e-005
64;Dinic;0.000154914
64;Dinic;0.000153915
64;Dinic;0.000152915
128;Dinic;0.000863855
128;Dinic;0.000878847
128;Dinic;0.000858858
256;Dinic;0.00610362
256;Dinic;0.00610895
256;Dinic;0.00649707
512;Dinic;0.0436265
512;Dinic;0.0438401
512;Dinic;0.045843
1024;Dinic;0.465047
1024;Dinic;0.468251
1024;Dinic;0.468038
2048;Dinic;4.54027
2048;Dinic;4.54028
2048;Dinic;4.56502
4096;Dinic;38.244
4096;Dinic;38.4683
4096;Dinic;56.0268
8192;Dinic;364.442
