Size;Algorithm;Time
32;GTDGR;6.72961e-005
32;GTDGR;6.56304e-005
32;GTDGR;4.99723e-005
64;GTDGR;0.000137924
64;GTDGR;0.000138257
64;GTDGR;0.000153582
128;GTDGR;0.000504388
128;GTDGR;0.000506386
128;GTDGR;0.000486731
256;GTDGR;0.00211916
256;GTDGR;0.00212283
256;GTDGR;0.00205353
512;GTDGR;0.0106888
512;GTDGR;0.00880013
512;GTDGR;0.00895738
1024;GTDGR;0.0577021
1024;GTDGR;0.0577634
1024;GTDGR;0.0580495
2048;GTDGR;0.274138
2048;GTDGR;0.273338
2048;GTDGR;0.273473
4096;GTDGR;1.1843
4096;GTDGR;1.18247
4096;GTDGR;1.1861
8192;GTDGR;4.80926
