Size;Algorithm;Time
32;GTN3GR;5.26375e-005
32;GTN3GR;2.73182e-005
32;GTN3GR;3.16492e-005
64;GTN3GR;8.02889e-005
64;GTN3GR;8.26209e-005
64;GTN3GR;7.5958e-005
128;GTN3GR;0.00029517
128;GTN3GR;0.000284176
128;GTN3GR;0.000285176
256;GTN3GR;0.00105075
256;GTN3GR;0.00104076
256;GTN3GR;0.00104109
512;GTN3GR;0.00539402
512;GTN3GR;0.00501856
512;GTN3GR;0.00492428
1024;GTN3GR;0.0233437
1024;GTN3GR;0.0231855
1024;GTN3GR;0.0232921
2048;GTN3GR;0.0922903
2048;GTN3GR;0.0923546
2048;GTN3GR;0.0924668
4096;GTN3GR;0.4267
4096;GTN3GR;0.435443
4096;GTN3GR;0.426769
8192;GTN3GR;1.79573
