Size;Algorithm;Time
32;KR1992MDGR;0.00117901
32;KR1992MDGR;0.000829874
32;KR1992MDGR;0.000789896
64;KR1992MDGR;0.00412505
64;KR1992MDGR;0.00300567
64;KR1992MDGR;0.00333149
128;KR1992MDGR;0.0109276
128;KR1992MDGR;0.00743322
128;KR1992MDGR;0.00732894
256;KR1992MDGR;0.04454
256;KR1992MDGR;0.0365238
256;KR1992MDGR;0.036111
512;KR1992MDGR;0.235464
512;KR1992MDGR;0.202538
512;KR1992MDGR;0.206334
1024;KR1992MDGR;1.07201
1024;KR1992MDGR;1.02798
1024;KR1992MDGR;0.933525
2048;KR1992MDGR;4.89615
2048;KR1992MDGR;4.64141
2048;KR1992MDGR;4.33472
4096;KR1992MDGR;22.6713
4096;KR1992MDGR;21.5979
4096;KR1992MDGR;20.5039
